taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-09,16,35,0.9714285714285714,3.976,3.2,0.9117647058823529,2.739705882352941
green,2024-01-09,17,34,0.9117647058823529,2.739705882352941,2.93,0.9,3.09075
green,2024-01-09,18,40,0.9,3.09075,3.22,0.8214285714285714,2.9546428571428573
green,2024-01-09,19,28,0.8214285714285714,2.9546428571428573,2.8899999999999997,0.9166666666666666,2.3850000000000002
green,2024-01-09,20,12,0.9166666666666666,2.3850000000000002,2.455,0.8333333333333334,1.7133333333333332
green,2024-01-09,21,12,0.8333333333333334,1.7133333333333332,2.0949999999999998,0.875,2.33125
green,2024-01-09,22,8,0.875,2.33125,2.125,1.0,3.7440000000000007
green,2024-01-10,0,3,0.6666666666666666,2.8333333333333335,2.08,1.0,2.6799999999999997
green,2024-01-10,1,3,1.0,2.6799999999999997,2.0,1.0,2.67
green,2024-01-10,5,1,1.0,3.55,3.55,1.0,2.4739999999999998
green,2024-01-10,6,5,1.0,2.4739999999999998,2.44,0.8636363636363636,3.311818181818182
green,2024-01-10,7,22,0.8636363636363636,3.311818181818182,2.645,1.0,3.753255813953488
green,2024-01-10,8,43,1.0,3.753255813953488,2.58,0.92,3.1824
green,2024-01-10,9,25,0.92,3.1824,3.27,0.9333333333333333,3.3133333333333335
green,2024-01-10,10,30,0.9333333333333333,3.3133333333333335,3.0,1.0,3.3249999999999997
green,2024-01-10,11,12,1.0,3.3249999999999997,2.9299999999999997,0.9166666666666666,3.7975
green,2024-01-10,12,12,0.9166666666666666,3.7975,3.2,0.8823529411764706,4.054705882352941
green,2024-01-10,13,17,0.8823529411764706,4.054705882352941,3.63,1.0,4.436428571428571
green,2024-01-10,14,28,1.0,4.436428571428571,3.0,1.0,3.196857142857143
green,2024-01-10,15,35,1.0,3.196857142857143,3.05,0.8717948717948718,3.4864102564102564
green,2024-01-10,16,39,0.8717948717948718,3.4864102564102564,3.08,0.9473684210526315,3.7150000000000003
green,2024-01-10,17,38,0.9473684210526315,3.7150000000000003,3.81,0.925,3.5417499999999995
green,2024-01-10,18,40,0.925,3.5417499999999995,3.11,1.0,3.2780645161290325
green,2024-01-10,19,31,1.0,3.2780645161290325,3.05,0.9565217391304348,2.819130434782609
green,2024-01-10,20,23,0.9565217391304348,2.819130434782609,2.78,0.8333333333333334,2.4225
green,2024-01-10,21,12,0.8333333333333334,2.4225,2.2199999999999998,0.8461538461538461,3.1507692307692308
green,2024-01-10,22,13,0.8461538461538461,3.1507692307692308,2.5,1.0,2.71875
green,2024-01-11,0,3,1.0,5.2,3.48,1.0,4.58
green,2024-01-11,5,2,1.0,3.1950000000000003,3.1950000000000003,1.0,2.8083333333333336
green,2024-01-11,6,6,1.0,2.8083333333333336,2.925,0.85,2.761
green,2024-01-11,7,20,0.85,2.761,2.34,0.9166666666666666,3.18375
green,2024-01-11,8,24,0.9166666666666666,3.18375,2.23,0.88,3.1875999999999998
green,2024-01-11,9,25,0.88,3.1875999999999998,3.0,0.8421052631578947,2.537894736842105
green,2024-01-11,10,19,0.8421052631578947,2.537894736842105,2.71,0.8888888888888888,4.123333333333333
green,2024-01-11,11,18,0.8888888888888888,4.123333333333333,3.975,0.9310344827586207,6.18551724137931
green,2024-01-11,12,29,0.9310344827586207,6.18551724137931,4.11,0.9090909090909091,3.4345454545454546
green,2024-01-11,13,22,0.9090909090909091,3.4345454545454546,3.625,1.0,3.923333333333333
green,2024-01-11,14,27,1.0,3.923333333333333,4.39,0.8709677419354839,3.2600000000000002
