taxi_type,pickup_borough,pickup_zone,rows,tip_rate,avg_tip_amount,avg_fare_amount,avg_trip_distance
yellow,Manhattan,Clinton East,17505,0.9441302485004285,3.702168523279063,15.699892602113682,2.4413390459868607
yellow,Manhattan,Meatpacking/West Village West,6910,0.9437047756874095,3.9101548480463095,16.991257597684516,2.639712011577424
yellow,Manhattan,TriBeCa/Civic Center,9703,0.9436256827785221,4.071567556425848,18.372164279088942,3.041660311243945
yellow,Manhattan,Penn Station/Madison Sq West,26549,0.9433876982183886,3.9450084748954763,17.033632151870126,2.3010414704885305
yellow,Manhattan,Manhattan Valley,5086,0.9429807314195832,3.282180495477782,14.347288635469917,2.2631970114038538
yellow,Queens,East Elmhurst,2806,0.9411974340698503,10.17188524590164,44.477373485388455,9.614483250178191
yellow,Manhattan,UN/Turtle Bay South,7892,0.9400658895083629,3.9074442473390776,16.873801317790168,2.6856652306132793
yellow,Manhattan,Greenwich Village South,10814,0.9381357499537636,3.4949972258183837,14.983967079711485,2.2454577399667097
yellow,Unknown,Unknown,1813,0.9376723662437948,4.6238444567016,21.388444567015995,3.873496966354109
yellow,Manhattan,East Village,16348,0.936077807682897,3.4818834108147785,14.94481649131392,2.3495338879373624
yellow,Manhattan,Garment District,10452,0.9323574435514734,3.823419441255262,16.765611366245697,2.4115116724071948
yellow,Manhattan,Morningside Heights,2854,0.9320252277505255,3.6933917309039948,17.230718290119132,2.896552207428171
yellow,Manhattan,Financial District North,3849,0.9311509482982593,4.831878409976618,23.105344245258507,4.356978435957391
yellow,Manhattan,Little Italy/NoLiTa,7174,0.9293281293560078,3.7056091441315866,16.180426540284362,2.4451352104822974
yellow,Queens,JFK Airport,33128,0.9286102390726878,12.581048961603477,67.37263312001932,16.696656000965948
yellow,Manhattan,Clinton West,3783,0.9267776896642876,3.573782712133228,15.790610626486915,2.5615014538725878
